250.088	26.6497	114.843	277.422	307.509	165.361	31859.9
252.07	25.6675	114.843	277.422	309.492	164.379	31859.9
254.155	25.7169	114.843	277.422	311.576	164.428	31859.9
255.192	24.4167	114.843	277.422	312.613	163.128	31859.9
256.187	22.626	114.843	277.422	313.608	161.337	31859.9
258.032	23.3275	114.843	277.422	315.453	162.038	31859.9
256.061	16.3745	120.585	291.293	316.354	162.021	35125.5
257.372	16.2809	120.585	291.293	317.664	161.927	35125.5
258.907	15.9425	120.585	291.293	319.2	161.589	35125.5
263.165	17.2958	120.585	291.293	323.457	162.942	35125.5
266.24	15.3082	120.585	291.293	326.533	160.955	35125.5
269.536	15.5664	120.585	291.293	329.829	161.213	35125.5
273.035	16.3131	120.585	291.293	333.328	161.96	35125.5
275.111	15.9956	120.585	291.293	335.403	161.642	35125.5
276.803	15.004	120.585	291.293	337.095	160.651	35125.5
278.348	15.1997	120.585	291.293	338.641	160.846	35125.5
279.654	16.4119	120.585	291.293	339.947	162.058	35125.5
283.855	16.7733	120.585	291.293	344.148	162.42	35125.5
288.364	16.2387	120.585	291.293	348.657	161.885	35125.5
293.401	16.2177	120.585	291.293	353.693	161.864	35125.5
301.338	22.3534	114.843	277.422	358.759	161.064	31859.9
308.4	21.7879	114.843	277.422	365.822	160.499	31859.9
311.682	21.9649	114.843	277.422	369.104	160.676	31859.9
316.079	22.4744	114.843	277.422	373.5	161.185	31859.9
317.508	15.1752	120.585	291.293	377.801	160.822	35125.5
319.604	16.4188	120.585	291.293	379.896	162.065	35125.5
306.672	14.0028	120.585	291.293	366.964	159.649	35125.5
292.227	20.8566	114.843	277.422	349.649	159.568	31859.9
282.666	19.9497	114.843	277.422	340.088	158.661	31859.9
269.422	21.8834	114.843	277.422	326.844	160.594	31859.9
264.421	22.6569	114.843	277.422	321.843	161.368	31859.9
251.998	22.3687	114.843	277.422	309.419	161.08	31859.9
247.989	23.5899	114.843	277.422	305.41	162.301	31859.9
247.78	24.5116	114.843	277.422	305.202	163.223	31859.9
248.171	25.11	114.843	277.422	305.593	163.821	31859.9
248.584	25.6115	114.843	277.422	306.005	164.323	31859.9
249.434	25.4848	114.843	277.422	306.855	164.196	31859.9
249.976	25.4743	114.843	277.422	307.397	164.185	31859.9
251.168	24.6237	114.843	277.422	308.589	163.335	31859.9
